"","Family","Genus","species","Time","Locality","County","Source","Museum.ID","Year.Collected","Height.mm","Length.mm","Thickness.1","Thickness.2","Thickness.3","Thickness.4","Thickness.5","Thickness.6","Thickness.7","size","mean_thickness","logsize","logthickness","size_meancentered"
"1","Veneridae","Leukoma","staminea","Holocene","North of Pacific Beach","San Diego","SBMNH","SBMNH 111034","1913",26.85,"32.86",3.73,"0.926",0.615,0.629,"0.888","1.211","1.091",29.7,1.3,3.39114704580865,0.262364264467491,-0.111986924267505
"2","Veneridae","Leukoma","staminea","Holocene","North of Pacific Beach","San Diego","SBMNH","SBMNH 111034","1913",32.52,"39.87",3.84,"0.967",0.716,0.51,"0.461","0.589","0.866",36.01,1.14,3.58379667766078,0.131028262406404,0.0806627075846253
"3","Veneridae","Leukoma","staminea","Holocene","North of Pacific Beach","San Diego","SBMNH","SBMNH 111034","1913",36.91,"43.08",5.11,"0.989",0.684,0.56,"0.622","1.289","1.614",39.88,1.55,3.68587494509364,0.438254930931155,0.182740975017479
"4","Veneridae","Leukoma","staminea","Holocene","North of Pacific Beach","San Diego","SBMNH","SBMNH 111034","1913",45.63,"52.15",6.12,"1.586",1.09,0.923,"1.269","1.842","2.024",48.78,2.12,3.88732039278777,0.751416088683921,0.384186422711616
"5","Veneridae","Leukoma","staminea","Holocene","La Jolla","San Diego","SBMNH","SBMNH 103389","1915",18.64,"21.89",3.02,"0.806",0.51,0.702,"0.988","1.122","1.016",20.2,1.17,3.00568260440716,0.157003748809665,-0.497451365668999
"6","Veneridae","Leukoma","staminea","Holocene","La Jolla","San Diego","SBMNH","SBMNH 103389","1915",19.22,"24.39",2.9,"0.774",0.695,0.735,"0.906","1.064","1.278",21.65,1.19,3.0750054544485,0.173953307123438,-0.42812851562766
"7","Veneridae","Chionista","fluctifraga","Holocene","San Diego","San Diego","SBMNH","SBMNH 104567","1919",55.18,"57.55",11.87,"7.149",5.76,4.557,"4.262","3.769","3.247",56.35,5.8,4.03158224048579,1.75785791755237,0.32968325828447
"8","Veneridae","Tivela","stultorum","Holocene","Coronado Beach","San Diego","SDMNH","18602","1923",16.86,"22.61",2.66,"0.794",1.119,1.402,"1.496","1.441","0.89",19.52,1.4,2.97143958098495,0.336472236621213,-0.328554156792201
"9","Veneridae","Tivela","stultorum","Holocene","Coronado Beach","San Diego","SDMNH","18602","1923",19.04,"25.39",3.16,"0.723",1.369,1.325,"1.454","1.384","1.044",21.99,1.49,3.09058780456667,0.398776119957368,-0.209405933210478
"10","Veneridae","Tivela","stultorum","Holocene","Coronado Beach","San Diego","SDMNH","18602","1923",18.67,"26.03",2.81,"0.749",1.208,1.543,"1.661","1.534","1.089",22.04,1.51,3.09285898428471,0.412109650826833,-0.207134753492434
