Nest,Egg_Number,Egg_ID,Hatched,Nest_Fate,Mass,Length,Width,Lay_Date
6002,1,6002-1,1,Active,34.4,51.4,35.2,
6002,2,6002-2,1,Active,34.1,49.4,36.3,
6002,3,6002-3,1,Active,35.2,49.5,36.2,
6002,4,6002-4,1,Active,35,48.4,36.2,
6002,5,6002-5,1,Active,35.1,49.2,36,5/5/06
6002,6,6002-6,1,Active,35.1,49.1,36.1,5/6/06
6002,7,6002-7,1,Active,34.2,49.6,36,5/7/06
6002,8,6002-8,1,Active,34.3,48.9,35.8,5/8/06
6002,9,6002-9,1,Active,33.5,48.4,35.6,5/9/06
6002,10,6002-10,1,Active,33.3,49.3,34.9,5/10/06
6002,P1,6002-P1,1,Active,31.2,49,34.2,5/5/06
6003,1,6003-1,1,Active,21.7,45.6,29.2,
6003,2,6003-2,1,Active,24.3,46.8,30.7,
6003,3,6003-3,1,Active,26.3,47.4,32.1,
6003,4,6003-4,1,Active,26,46.7,31.8,
6003,5,6003-5,1,Active,24.9,46.6,31.5,5/5/06
6003,6,6003-6,1,Active,26.2,47.7,31.9,5/6/06
6003,7,6003-7,1,Active,25.3,46.4,31.7,5/7/06
6003,8,6003-8,1,Active,25.7,46.6,31.4,5/8/06
6003,9,6003-9,1,Active,25.2,47.5,30.6,5/9/06
6003,P1,6003-P1,1,Active,29.3,47.4,33.5,5/13/06
6003,P2,6003-P2,1,Active,29.8,48.4,33.7,5/14/06
6003,P3,6003-P3,1,Active,28.6,47.5,33.3,5/15/06
6004,1,6004-1,1,Active,30.8,46,35.5,5/4/06
6004,2,6004-2,1,Active,31.8,46.5,35.6,5/5/06
6004,3,6004-3,1,Active,31.8,47.2,35.6,5/6/06
6004,4,6004-4,1,Active,32.9,48.1,36,5/7/06
6004,5,6004-5,1,Active,32.2,47,35.6,5/8/06
6004,6,6004-6,1,Active,32.5,48.3,35.5,5/9/06
6004,7,6004-7,1,Active,30.4,48.2,34.7,5/10/06
6004,8,6004-8,1,Active,29.9,47.2,34.6,5/11/06
6004,P1,6004-P1,1,Active,28.6,46,33.8,5/5/06
6004,P2,6004-P2,1,Active,30.7,48.7,34.1,5/6/06
6004,P3,6004-P3,1,Active,30.7,50.4,34.1,5/7/06
6005,1,6005-1,1,Failed,33.4,49,35.2,
6005,2,6005-2,1,Failed,31.7,49.7,34.1,
6006,1,6006-1,1,Active,31.1,48,34.4,
6006,2,6006-2,1,Active,28.4,45.7,33.7,
6006,3,6006-3,1,Active,29,46.6,33.9,5/6/06
6006,4,6006-4,1,Active,29.1,47.8,33.7,5/7/06
6006,5,6006-5,1,Active,27.1,46.3,32.9,5/8/06
6006,6,6006-6,0,Active,26.5,45.6,32.8,
6006,6,6006-6,1,Active,26.8,46.1,33,5/9/06
6006,7,6006-7,1,Active,26.3,46.2,32.2,5/10/06
6006,P1,6006-P1,1,Active,31.5,49.6,34.4,5/8/06
6006,P2,6006-P2,1,Active,32.4,49.8,34.3,5/9/06
6006,P3,6006-P3,1,Active,31.3,48.5,34.2,5/10/06
6006,P4,6006-P4,1,Active,32,49.9,33.4,5/11/06
6006,P5,6006-P5,1,Active,30.6,49,34,5/12/06
6006,P6,6006-P6,1,Active,26.2,45.5,32.2,5/13/06
6006,P7,6006-P7,1,Active,27.9,48.3,33,5/30/06
6007,1,6007-1,0,Failed,26.9,46.1,32.9,5/5/06
6007,P1,6007-P1,0,Failed,28.7,47.7,33.1,
6008,1,6008-1,0,Failed,34.8,51.6,35.4,5/5/06
6008.1,1,6008.1-1,0,Failed,32.4,49.2,34.6,5/7/06
6009,1,6009-1,0,Failed,32.2,49.6,34.4,5/5/06
6011,1,6011-1,0,Failed,20.1,48.8,34.3,
6011,2,6011-2,0,Failed,18.6,47.4,33.6,
