Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2011/05/31, 12:57:05, 51.861004, -1.240199, 71.33,  180.00, 39, -2, 0.00, 1
2011/05/31, 12:57:06, 51.861019, -1.240218, 73.12,  0.00, 55, 0, 2.12, 1
2011/05/31, 12:57:07, 51.861019, -1.240218, 73.12,  0.00, 65, 0, 0.00, 
2011/05/31, 12:57:08, 51.861019, -1.240218, 73.12,  0.00, 131, 0, 0.00, 
2011/05/31, 12:57:09, 51.861019, -1.240218, 73.12,  0.00, 111, 0, 0.00, 
2011/05/31, 12:57:10, 51.861019, -1.240218, 73.12,  0.00, 127, 0, 0.00, 
2011/05/31, 12:57:11, 51.861019, -1.240218, 73.12,  0.00, 118, 0, 0.00, 
2011/05/31, 12:57:12, 51.861019, -1.240218, 73.12,  0.00, 124, 0, 0.00, 
2011/05/31, 12:57:13, 51.861019, -1.240218, 73.12,  0.00, 126, 0, 0.00, 
2011/05/31, 12:57:14, 51.861019, -1.240218, 73.12,  0.00, 125, 0, 0.00, 
2011/05/31, 12:57:15, 51.861019, -1.240218, 73.12,  0.00, 125, 0, 0.00, 
2011/05/31, 12:57:16, 51.861019, -1.240218, 73.12,  0.00, 127, 0, 0.00, 
2011/05/31, 12:57:17, 51.861019, -1.240218, 73.12,  0.00, 58, 0, 0.00, 
2011/05/31, 12:57:18, 51.861019, -1.240218, 73.12,  0.00, 184, 0, 0.00, 
2011/05/31, 12:57:19, 51.861019, -1.240218, 73.12,  0.00, 170, 0, 0.00, 
2011/05/31, 12:57:20, 51.861019, -1.240218, 73.12,  0.00, 329, 0, 0.00, 
2011/05/31, 12:57:21, 51.861019, -1.240218, 73.12,  0.00, 263, 0, 0.00, 
2011/05/31, 12:57:22, 51.861019, -1.240218, 73.12,  0.00, 49, 0, 0.00, 
2011/05/31, 12:57:23, 51.861019, -1.240218, 73.12,  0.00, 118, 0, 0.00, 
2011/05/31, 12:57:24, 51.861019, -1.240218, 73.12,  0.00, 209, 0, 0.00, 
2011/05/31, 12:57:25, 51.861019, -1.240218, 73.12,  0.00, 112, 0, 0.00, 
2011/05/31, 12:57:26, 51.861019, -1.240218, 73.12,  0.00, 258, 0, 0.00, 
2011/05/31, 12:57:27, 51.861019, -1.240218, 73.12,  0.00, 320, 0, 0.00, 
2011/05/31, 12:57:28, 51.861019, -1.240218, 73.12,  0.00, 332, 0, 0.00, 
2011/05/31, 12:57:28, 51.861019, -1.240218, 73.12,  0.00, 58, 0, 0.00, 
2011/05/31, 12:57:30, 51.861019, -1.240218, 73.12,  0.00, 264, 0, 0.00, 
2011/05/31, 12:57:31, 51.861019, -1.240218, 73.12,  0.00, 19, 0, 0.00, 
2011/05/31, 12:57:32, 51.861019, -1.240218, 73.12,  0.00, 337, 0, 0.00, 
2011/05/31, 12:57:33, 51.861019, -1.240218, 73.12,  0.00, 334, 0, 0.00, 
2011/05/31, 12:57:34, 51.861065, -1.240238, 72.59,  5112.00, 301, 0, 5.30, 
2011/05/31, 12:57:35, 51.861065, -1.240264, 72.76,  4788.00, 275, 0, 1.79, 
2011/05/31, 12:57:36, 51.861061, -1.240280, 72.34,  3528.00, 259, 0, 1.19, 
2011/05/31, 12:57:37, 51.861053, -1.240281, 71.74,  180.00, 209, 0, 0.89, 
2011/05/31, 12:57:38, 51.861053, -1.240283, 72.01,  0.00, 306, 0, 0.14, 
2011/05/31, 12:57:39, 51.861053, -1.240283, 72.01,  0.00, 104, 0, 0.00, 
2011/05/31, 12:57:40, 51.861053, -1.240283, 72.01,  0.00, 254, 0, 0.00, 
2011/05/31, 12:57:41, 51.861053, -1.240283, 72.01,  0.00, 122, 0, 0.00, 
2011/05/31, 12:57:42, 51.861053, -1.240283, 72.01,  0.00, 107, 0, 0.00, 
2011/05/31, 12:57:43, 51.861053, -1.240283, 72.01,  0.00, 148, 0, 0.00, 
2011/05/31, 12:57:44, 51.861053, -1.240283, 72.01,  0.00, 98, 0, 0.00, 
2011/05/31, 12:57:45, 51.861053, -1.240283, 72.01,  0.00, 354, 0, 0.00, 
2011/05/31, 12:57:47, 51.861053, -1.240283, 72.01,  0.00, 3, 0, 0.00, 
2011/05/31, 12:57:48, 51.861053, -1.240283, 72.01,  0.00, 226, 0, 0.00, 
2011/05/31, 12:57:49, 51.861053, -1.240283, 72.01,  0.00, 299, 0, 0.00, 
2011/05/31, 12:57:50, 51.861183, -1.240340, 76.57,  7308.00, 338, 0, 14.98, 1
2011/05/31, 12:57:51, 51.861252, -1.240429, 77.57,  17712.00, 325, 0, 9.81, 1
2011/05/31, 12:57:52, 51.861313, -1.240569, 77.60,  25992.00, 315, 0, 11.77, 1
2011/05/31, 12:57:53, 51.861328, -1.240764, 77.91,  31068.00, 300, 0, 13.49, 1
2011/05/31, 12:57:54, 51.861282, -1.240933, 78.57,  28656.00, 283, 0, 12.68, 1
2011/05/31, 12:57:55, 51.861217, -1.241086, 79.37,  30780.00, 255, 0, 12.75, 1
2011/05/31, 12:57:56, 51.861111, -1.241212, 80.47,  36360.00, 228, 0, 14.62, 1
2011/05/31, 12:57:57, 51.860977, -1.241314, 81.91,  45252.00, 209, 0, 16.46, 1
2011/05/31, 12:57:58, 51.860840, -1.241414, 84.86,  51444.00, 208, 0, 16.71, 1
2011/05/31, 12:57:59, 51.860714, -1.241519, 87.79,  52092.00, 210, 0, 15.76, 1
2011/05/31, 12:58:00, 51.860600, -1.241639, 88.95,  50400.00, 217, 0, 15.12, 1
2011/05/31, 12:58:01, 51.860519, -1.241784, 90.29,  49608.00, 221, 0, 13.43, 1
2011/05/31, 12:58:02, 51.860542, -1.241936, 92.52,  45288.00, 233, 0, 10.75, 1
2011/05/31, 12:58:03, 51.860626, -1.242014, 94.94,  33048.00, 246, 0, 10.77, 1
2011/05/31, 12:58:04, 51.860718, -1.242049, 97.27,  21384.00, 288, 0, 10.51, 1
2011/05/31, 12:58:05, 51.860847, -1.242049, 99.52,  29664.00, 341, 0, 14.34, 1
2011/05/31, 12:58:06, 51.860985, -1.242060, 102.01,  40680.00, 346, 0, 15.36, 1
2011/05/31, 12:58:07, 51.861107, -1.242099, 104.01,  37368.00, 335, 0, 13.83, 1
2011/05/31, 12:58:08, 51.861183, -1.242187, 106.07,  37224.00, 325, 0, 10.39, 1
2011/05/31, 12:58:09, 51.861195, -1.242304, 107.84,  33948.00, 314, 0, 8.14, 1
2011/05/31, 12:58:10, 51.861137, -1.242410, 109.65,  27216.00, 301, 0, 9.73, 1
2011/05/31, 12:58:11, 51.861027, -1.242491, 111.22,  21132.00, 264, 0, 13.44, 1
2011/05/31, 12:58:12, 51.860867, -1.242506, 112.76,  25596.00, 217, 0, 17.82, 1
2011/05/31, 12:58:13, 51.860687, -1.242430, 114.39,  38916.00, 190, 0, 20.68, 1
2011/05/31, 12:58:14, 51.860523, -1.242316, 115.92,  52344.00, 171, 0, 19.85, 1
2011/05/31, 12:58:15, 51.860363, -1.242141, 116.59,  62028.00, 156, 0, 21.47, 1
2011/05/31, 12:58:16, 51.860195, -1.241958, 116.73,  71136.00, 153, 0, 22.51, 1
2011/05/31, 12:58:17, 51.860039, -1.241830, 118.03,  69732.00, 152, 0, 19.45, 1
2011/05/31, 12:58:18, 51.859882, -1.241675, 118.50,  71568.00, 148, 0, 20.45, 1
2011/05/31, 12:58:19, 51.859726, -1.241505, 119.77,  75528.00, 147, 0, 20.91, 1
2011/05/31, 12:58:20, 51.859570, -1.241328, 121.05,  76392.00, 145, 0, 21.18, 1
2011/05/31, 12:58:21, 51.859413, -1.241137, 122.18,  76536.00, 144, 0, 21.84, 1
2011/05/31, 12:58:22, 51.859264, -1.240939, 123.28,  76896.00, 143, 0, 21.43, 1
2011/05/31, 12:58:23, 51.859123, -1.240714, 124.37,  77220.00, 142, 0, 22.01, 1
2011/05/31, 12:58:24, 51.859005, -1.240438, 125.47,  78516.00, 138, 0, 23.05, 1
2011/05/31, 12:58:25, 51.858921, -1.240179, 126.41,  76860.00, 135, 0, 20.09, 1
2011/05/31, 12:58:26, 51.858902, -1.239909, 127.62,  71712.00, 129, 0, 18.66, 1
2011/05/31, 12:58:27, 51.858952, -1.239698, 128.54,  64368.00, 121, 0, 15.52, 1
2011/05/31, 12:58:28, 51.858894, -1.239480, 129.52,  61956.00, 118, 0, 16.30, 1
2011/05/31, 12:58:28, 51.859356, -1.239586, 128.54,  42588.00, 83, 0, 51.89, 
2011/05/31, 12:58:30, 51.859665, -1.239801, 125.56,  16740.00, 66, 0, 37.40, 1
