Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2011/05/19, 14:37:35, 51.792130, -1.171631, 121.87,  180.00, 68, -2, 0.00, 1
2011/05/19, 14:37:36, 51.792133, -1.171630, 121.66,  0.00, 15, 0, 0.34, 1
2011/05/19, 14:37:37, 51.792133, -1.171630, 121.66,  0.00, 16, 0, 0.00, 
2011/05/19, 14:37:38, 51.792133, -1.171630, 121.66,  0.00, 302, 0, 0.00, 
2011/05/19, 14:37:39, 51.792133, -1.171630, 121.66,  0.00, 44, 0, 0.00, 
2011/05/19, 14:37:40, 51.792133, -1.171630, 121.66,  0.00, 82, 0, 0.00, 
2011/05/19, 14:37:41, 51.792133, -1.171630, 121.66,  0.00, 29, 0, 0.00, 
2011/05/19, 14:37:42, 51.792133, -1.171630, 121.66,  0.00, 121, 0, 0.00, 
2011/05/19, 14:37:43, 51.792133, -1.171630, 121.66,  0.00, 162, 0, 0.00, 
2011/05/19, 14:37:44, 51.792133, -1.171630, 121.66,  0.00, 102, 0, 0.00, 
2011/05/19, 14:37:45, 51.792133, -1.171630, 121.66,  0.00, 15, 0, 0.00, 
2011/05/19, 14:37:46, 51.792133, -1.171630, 121.66,  0.00, 342, 0, 0.00, 
2011/05/19, 14:37:47, 51.792133, -1.171630, 121.66,  0.00, 308, 0, 0.00, 
2011/05/19, 14:37:48, 51.792133, -1.171630, 121.66,  0.00, 204, 0, 0.00, 
2011/05/19, 14:37:49, 51.792133, -1.171630, 121.66,  0.00, 285, 0, 0.00, 
2011/05/19, 14:37:50, 51.792137, -1.171658, 123.19,  5256.00, 263, 0, 1.98, 
2011/05/19, 14:37:51, 51.792133, -1.171671, 123.21,  3096.00, 223, 0, 1.00, 
2011/05/19, 14:37:52, 51.792133, -1.171676, 123.23,  2196.00, 291, 0, 0.34, 
2011/05/19, 14:37:53, 51.792133, -1.171680, 122.51,  0.00, 343, 0, 0.28, 
2011/05/19, 14:37:54, 51.792133, -1.171680, 122.51,  0.00, 359, 0, 0.00, 
2011/05/19, 14:37:55, 51.792152, -1.171688, 121.98,  7524.00, 336, 0, 2.18, 
2011/05/19, 14:37:56, 51.792168, -1.171698, 121.86,  8568.00, 332, 0, 1.91, 
2011/05/19, 14:37:56, 51.792191, -1.171719, 121.75,  9828.00, 325, 0, 2.94, 
2011/05/19, 14:37:57, 51.792229, -1.171735, 121.59,  12528.00, 330, 0, 4.37, 1
2011/05/19, 14:37:58, 51.792271, -1.171747, 121.94,  15516.00, 327, 0, 4.74, 1
2011/05/19, 14:37:59, 51.792336, -1.171760, 121.51,  20520.00, 333, 0, 7.28, 1
2011/05/19, 14:38:00, 51.792416, -1.171746, 121.76,  21924.00, 341, 0, 8.95, 1
