year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,2,m,17.56,189,158.8,NA,-1.7558,NA
1996,2,m,17.91,189,158.8,NA,-1.7558,NA
1996,2,m,17.29,189,158.8,NA,-1.7558,NA
1996,2,f,19.26,196,158.8,NA,-1.7558,NA
1996,2,m,18.82,196,158.8,NA,-1.7558,NA
1996,2,m,17.83,196,158.8,NA,-1.7558,NA
1996,2,m,18.86,210,158.8,NA,-1.7558,NA
1996,2,f,18.49,210,158.8,NA,-1.7558,NA
1996,2,f,18.99,217,158.8,NA,-1.7558,NA
1996,2,f,19.06,217,158.8,NA,-1.7558,NA
1996,2,f,19.56,224,158.8,NA,-1.7558,NA
1996,2,f,19.34,224,158.8,NA,-1.7558,NA
1996,2,f,19.25,224,158.8,NA,-1.7558,NA
1996,2,f,18.43,231,158.8,NA,-1.7558,NA
1996,2,f,19.02,203,158.8,NA,-1.7558,NA
1996,2,f,20.16,203,158.8,NA,-1.7558,NA
1996,2,f,18.72,203,158.8,NA,-1.7558,NA
1996,2,f,19.68,203,158.8,NA,-1.7558,NA
1996,2,f,18.77,203,158.8,NA,-1.7558,NA
1996,2,m,17.29,203,158.8,NA,-1.7558,NA
1996,2,f,19.52,203,158.8,NA,-1.7558,NA
1996,2,m,18.32,203,158.8,NA,-1.7558,NA
1996,2,f,19.2,203,158.8,NA,-1.7558,NA
1996,2,m,17.97,203,158.8,NA,-1.7558,NA
1996,2,m,17.57,203,158.8,NA,-1.7558,NA
1996,2,f,19.28,203,158.8,NA,-1.7558,NA
1996,2,m,16.53,203,158.8,NA,-1.7558,NA
1996,2,f,19.52,203,158.8,NA,-1.7558,NA
1996,2,f,17.47,203,158.8,NA,-1.7558,NA
1996,2,m,17.13,203,158.8,NA,-1.7558,NA
1996,2,m,17.72,203,158.8,NA,-1.7558,NA
1996,2,f,18.76,203,158.8,NA,-1.7558,NA
1996,2,m,18.78,203,158.8,NA,-1.7558,NA
1996,2,m,19.13,203,158.8,NA,-1.7558,NA
1996,2,f,19.13,203,158.8,NA,-1.7558,NA
1996,2,f,19.5,203,158.8,NA,-1.7558,NA
1996,2,f,18.8,203,158.8,NA,-1.7558,NA
1996,3,m,19.33,189,158.8,NA,-1.7558,NA
1996,3,m,19.47,189,158.8,NA,-1.7558,NA
1996,3,m,19.4,203,158.8,NA,-1.7558,NA
1996,3,f,20.76,203,158.8,NA,-1.7558,NA
1996,3,m,18.2,203,158.8,NA,-1.7558,NA
1996,3,f,20.18,203,158.8,NA,-1.7558,NA
1996,3,m,18.42,203,158.8,NA,-1.7558,NA
1996,3,m,17.18,203,158.8,NA,-1.7558,NA
1996,3,f,19.25,203,158.8,NA,-1.7558,NA
1996,3,m,18.62,203,158.8,NA,-1.7558,NA
1996,3,m,19.51,203,158.8,NA,-1.7558,NA
1996,3,m,18.69,203,158.8,NA,-1.7558,NA
1996,3,m,17.83,217,158.8,NA,-1.7558,NA
1996,3,f,16.84,217,158.8,NA,-1.7558,NA
1996,3,m,19.05,217,158.8,NA,-1.7558,NA
1996,3,f,20.16,217,158.8,NA,-1.7558,NA
1996,3,f,18.75,217,158.8,NA,-1.7558,NA
1996,3,m,19.67,217,158.8,NA,-1.7558,NA
1996,3,m,18.23,217,158.8,NA,-1.7558,NA
1996,3,m,17.36,217,158.8,NA,-1.7558,NA
1996,3,f,19.74,217,158.8,NA,-1.7558,NA
1996,3,f,18.68,217,158.8,NA,-1.7558,NA
1996,3,f,19.7,217,158.8,NA,-1.7558,NA
1996,3,f,19.59,217,158.8,NA,-1.7558,NA
1996,3,m,18.46,217,158.8,NA,-1.7558,NA
1996,3,f,19.21,231,158.8,NA,-1.7558,NA
1996,3,m,18.68,231,158.8,NA,-1.7558,NA
1996,3,f,19.24,231,158.8,NA,-1.7558,NA
1996,3,f,19.47,231,158.8,NA,-1.7558,NA
1996,3,f,17.87,231,158.8,NA,-1.7558,NA
1996,3,f,18.15,231,158.8,NA,-1.7558,NA
1996,3,f,19.74,231,158.8,NA,-1.7558,NA
1996,3,f,18.52,231,158.8,NA,-1.7558,NA
