year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,2,f,24.02,189,158.8,NA,-1.7558,NA
1996,2,f,23.06,189,158.8,NA,-1.7558,NA
1996,2,f,23.07,189,158.8,NA,-1.7558,NA
1996,2,f,25.6,189,158.8,NA,-1.7558,NA
1996,2,f,24.07,189,158.8,NA,-1.7558,NA
1996,2,f,24.93,196,158.8,NA,-1.7558,NA
1996,2,f,24.19,196,158.8,NA,-1.7558,NA
1996,2,f,25.4,210,158.8,NA,-1.7558,NA
1996,2,f,22.87,196,158.8,NA,-1.7558,NA
1996,2,f,22.5,196,158.8,NA,-1.7558,NA
1996,2,f,23.32,203,158.8,NA,-1.7558,NA
1996,2,f,23.75,203,158.8,NA,-1.7558,NA
1996,2,f,22.69,203,158.8,NA,-1.7558,NA
1996,2,f,21.25,203,158.8,NA,-1.7558,NA
1996,2,f,22.18,203,158.8,NA,-1.7558,NA
1996,2,f,21.98,203,158.8,NA,-1.7558,NA
1996,2,f,23.11,203,158.8,NA,-1.7558,NA
1996,2,f,23.37,203,158.8,NA,-1.7558,NA
1996,2,f,22.95,203,158.8,NA,-1.7558,NA
1996,2,f,24.54,203,158.8,NA,-1.7558,NA
1996,2,f,23.73,203,158.8,NA,-1.7558,NA
1996,2,f,23.92,203,158.8,NA,-1.7558,NA
1996,2,m,22.48,189,158.8,NA,-1.7558,NA
1996,2,m,23.15,189,158.8,NA,-1.7558,NA
1996,2,m,22.92,189,158.8,NA,-1.7558,NA
1996,2,m,20.78,196,158.8,NA,-1.7558,NA
1996,2,m,24.13,196,158.8,NA,-1.7558,NA
1996,2,m,22.11,196,158.8,NA,-1.7558,NA
1996,2,m,23.05,196,158.8,NA,-1.7558,NA
1996,2,m,22.5,196,158.8,NA,-1.7558,NA
1996,2,m,23.2,203,158.8,NA,-1.7558,NA
1996,2,m,22.62,203,158.8,NA,-1.7558,NA
1996,2,m,21.35,203,158.8,NA,-1.7558,NA
1996,2,m,22.9,203,158.8,NA,-1.7558,NA
1996,2,m,23.1,203,158.8,NA,-1.7558,NA
