"new.id","Egg.ID","Brood","Brood.Treatment","Clutch","Release.Date","Release.Order","Wetland","Year","is.parasite"
"5001-1","1",5001,"Control","5001","5/31/09",1,"Jaimeson",2005,FALSE
"5001-3","3",5001,"Control","5001","5/31/09",1,"Jaimeson",2005,FALSE
"5001-2","2",5001,"Control","5001","6/1/09",2,"Jaimeson",2005,FALSE
"5001-4","4",5001,"Control","5001","6/1/09",2,"Jaimeson",2005,FALSE
"5001-5","5",5001,"Control","5001","6/1/09",2,"Jaimeson",2005,FALSE
"5001-6","6",5001,"Control","5001","6/1/09",2,"Jaimeson",2005,FALSE
"5001-7","7",5001,"Control","5001","6/1/09",2,"Jaimeson",2005,FALSE
"5001-8","8",5001,"Control","5001","6/2/09",3,"Jaimeson",2005,FALSE
"5001-9","9",5001,"Control","5001","6/3/09",4,"Jaimeson",2005,FALSE
"5001-10","10",5001,"Control","5001","6/4/09",5,"Jaimeson",2005,FALSE
"5001-11","11",5001,"Control","5001","6/5/09",6,"Jaimeson",2005,FALSE
"5001-12","12",5001,"Control","5001","6/6/09",7,"Jaimeson",2005,FALSE
"5002-1","1",5002,"Control","5002","5/29/09",1,"Jaimeson",2005,FALSE
"5002-2","2",5002,"Control","5002","5/29/09",1,"Jaimeson",2005,FALSE
"5002-4","4",5002,"Control","5002","5/29/09",1,"Jaimeson",2005,FALSE
"5002-5","5",5002,"Control","5002","5/30/09",2,"Jaimeson",2005,FALSE
"5002-6","6",5002,"Control","5002","5/30/09",2,"Jaimeson",2005,FALSE
"5002-7","7",5002,"Control","5002","5/31/09",3,"Jaimeson",2005,FALSE
"5002-8","8",5002,"Control","5002","6/1/09",4,"Jaimeson",2005,FALSE
"5002-9","9",5002,"Control","5002","6/1/09",4,"Jaimeson",2005,FALSE
"5002-10","10",5002,"Control","5002","6/2/09",5,"Jaimeson",2005,FALSE
"5002-P1","P1",5002,"Control","5002","6/7/09",10,"Jaimeson",2005,TRUE
