Playback treatment,Day1,Day3,Day5,Day7,Day9,Day11,Day13,Day15
Ambient,1.921936222,0.984999492,0.984271269,0.982814821,0.982814821,0.979173703,1.456380752,1.453467857
Ambient,1.857019548,0.889960774,1.664671638,2.049367457,2.049367457,2.04050208,2.254126895,1.858792623
Ambient,1.723259494,1.156921003,1.156564473,1.155851414,3.424057615,1.721120315,3.426196793,1.723616024
Ambient,1.943195585,0.6500865,1.296641042,3.236359007,5.822794527,3.882696198,3.883293914,2.589858802
Ambient,1.630637504,0.866089517,1.632176012,1.884973997,2.908474001,2.900781461,2.405955047,2.655676016
Ambient,1.798980111,0.587480268,0.342957576,2.040327483,2.040327483,2.518259251,1.806918408,1.80056777
Ambient,1.645161358,1.456888277,1.455106524,1.835216193,2.02705278,2.785490364,2.99692623,2.797962632
Ambient,1.667366886,1.843559672,1.151775408,0.975582622,0.975582622,1.828717524,1.849125478,1.841704404
Ambient,2.257722249,0.583317052,0.58292764,0.582148815,1.140543489,1.138596428,1.142879962,0.58292764
Ambient,2.382285732,2.055640505,2.054380385,2.051860144,3.697687483,3.691386882,3.046917269,3.041876788
Ambient,1.549284127,1.73242987,1.910089645,1.726943902,1.547455471,1.53831219,2.276381132,2.448554939
Ship,4.491340552,3.943867798,3.670865359,3.393459294,3.656186606,5.859288499,3.387587792,3.381716291
Ship,2.478192096,2.144228274,3.321528371,2.814028522,2.631129472,2.976328921,2.470701678,2.631129472
Ship,4.836706719,4.837397815,5.317060132,7.23156283,5.789120399,5.313604655,5.791884781,5.789120399
Ship,3.810594287,4.097686616,4.384778945,3.810594287,3.513524538,3.520651267,2.947891955,2.942190572
Ship,3.279676946,3.281328008,3.056735875,2.827190556,2.81398206,2.143507785,1.915613528,2.135252475
Ship,3.267118542,3.494102381,4.17174483,3.717777153,3.479211581,3.712813553,3.035171103,3.02855297
Ship,3.51964147,3.764931894,3.766516626,3.763347161,3.506963613,4.002298657,4.244419616,3.994374996
Ship,6.667517481,5.458088916,6.063122798,6.062696665,6.060992135,6.062057466,5.457023584,5.456171319
Ship,2.938814383,2.682649022,3.972665352,3.969602176,3.44195558,2.161128775,2.674991085,2.668864735
Ship,3.370430023,4.878717556,3.875786805,3.87267368,3.357977523,4.872491306,4.368691087,4.362464836
Ship,4.278388484,4.602054978,4.280960268,3.63362728,3.300959542,3.629769604,3.628483712,3.300959542
